Xbox Game Title	Title ID	Title	XDK version
007: Agent Under Fire	0x4541000D	Agent Under Fire ™	4039
007: Everything or Nothing	0x45410042	James Bond 007: Everything or Nothing	5659
007: From Russia with love	0x45410079	FROM RUSSIA WITH LOVE (TM)	5849
007: NightFire	0x45410026	007™: NightFire™	4831
187 Ride or Die	0x55530036	187 Ride or Die	5849
2002 FIFA World Cup Korea Japan	0x4541000B	FIFA World Cup TM	4039
25 To Life	0x45530018	25 To Life	5849
4X4 EVO 2	0x54540001	4X4 EVO 2	3925
50 Cent: Bulletproof	0x56550042	50 Cent: Bulletproof	5849
Advent Rising	0x4D4A0009	Advent Rising	5849
Aeon Flux	0x4D4A0014	Aeon Flux	5849
AFL Live 2003	0x4143000D	AFL Live 2003	4531
AFL Live 2004	0x4143001B	AFL Live 2004	5455
AFL Live Premiership Edition	0x41430023	AFL Live Premiership Edition	5849
Afterburner ll Arcade			4721
Aggressive Inline	0x41430007	Aggressive Inline	4627
Airforce Delta Storm (NTSC)	0x4B4E0002	Airforce Delta Storm	3925
Alias	0x41430016	ALIAS	5788
Alien Hominid	0x5A440004	Alien Hominid	5849
Aliens vs Predator: Extinction	0x56550022	AvP: Extinction	5455
All-Star Baseball 2003	0x41430002	All-Star Baseball '03	4134
All-Star Baseball 2004	0x41430018	All-Star Baseball '04	5233
All-Star Baseball 2005	0x4143001C	All-Star Baseball '05	5788
Alter Echo	0x5451000F	Alter Echo	5233
American Chopper	0x4156003D	American Chopper	5849
American Chopper 2: Full Throttle	0x4156004F	American Chopper 2 Full Throttle	5849
America's Army: Rise of a Soldier	0x55530043	America’s Army:RoaS	5849
AMF Bowling 2004	0x42530009	AMF Bowling 2004	5659
AMF Xtreme Bowling 2006	0x42530014	AMF Xtreme Bowling 2006	5849
Amped 2	0x4D530041	Amped 2	5558
Amped Freestyle Snowboarding (NTSC)	0x4D530005	Amped	3925
AND 1 Streetball	0x55530056	And 1 StreetBall	5849
Angelic Concert	0x53550007	エンジェリック・コンサート	4928
Antz Extreme Racing	0x454D0001	Antz Extreme Racing	4432
Aoi Namida	0x494C0006	青い涙	5849
